index,fPath1,fPath2,label,test_label
0,../data/train_data_set/20170625-BBM-bm-n-mobo/1498413993_-02400.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414053_-02340.jpg,0,False
1,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414053_-02340.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414113_-02280.jpg,0,False
2,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414113_-02280.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414173_-02220.jpg,0,False
3,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414173_-02220.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414233_-02160.jpg,0,False
4,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414233_-02160.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414293_-02100.jpg,0,False
5,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414293_-02100.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414353_-02040.jpg,0,False
6,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414353_-02040.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414413_-01980.jpg,0,False
7,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414413_-01980.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414473_-01920.jpg,0,False
8,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414473_-01920.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414533_-01860.jpg,0,False
9,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414533_-01860.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414593_-01800.jpg,0,False
10,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414593_-01800.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414653_-01740.jpg,0,False
11,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414653_-01740.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414713_-01680.jpg,0,False
12,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414713_-01680.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414773_-01620.jpg,0,False
13,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414773_-01620.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414833_-01560.jpg,0,False
14,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414833_-01560.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414893_-01500.jpg,0,False
15,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414893_-01500.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414953_-01440.jpg,0,False
16,../data/train_data_set/20170625-BBM-bm-n-mobo/1498414953_-01440.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415013_-01380.jpg,0,False
17,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415013_-01380.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415073_-01320.jpg,0,False
18,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415073_-01320.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415133_-01260.jpg,0,False
19,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415133_-01260.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415193_-01200.jpg,0,False
20,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415193_-01200.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415253_-01140.jpg,0,False
21,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415253_-01140.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415313_-01080.jpg,0,False
22,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415313_-01080.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415373_-01020.jpg,0,False
23,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415373_-01020.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415433_-00960.jpg,0,False
24,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415433_-00960.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415493_-00900.jpg,0,False
25,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415493_-00900.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415553_-00840.jpg,0,False
26,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415553_-00840.jpg,../data/train_data_set/20170625-BBM-bm-n-mobo/1498415613_-00780.jpg,0,False
